Ship;Date;hour;minute;UTC_Seconds;Latitude;Longitude;ow_temp;ow_humidity;ow_pressure;ow_dewPoint;ow_feelsLike;ow_dt
A-AU;2020-12-15 00:00:00;0;0;1607990400;59.449966;24.766567000000002;-2.02;92;1016;-3.01;-6.24;1607990400
A-AU;2020-12-15 01:00:00;1;0;1607994000;59.44998199999999;24.766567000000002;-1.73;100;1016;-1.73;-5.77;1607994000
A-AU;2020-12-15 02:00:00;2;0;1607997600;59.44998199999999;24.766567000000002;-1.73;92;1016;-2.73;-5.57;1607997600
A-AU;2020-12-15 03:00:00;3;0;1608001200;59.449966;24.766567000000002;-1.73;100;1016;-1.73;-5.0;1608001200
A-AU;2020-12-15 04:00:00;4;0;1608004800;59.449966;24.766567000000002;-1.62;92;1016;-2.62;-5.44;1608004800
A-AU;2020-12-15 05:00:00;5;0;1608008400;59.44998199999999;24.766567000000002;-1.52;100;1016;-1.52;-5.54;1608008400
A-AU;2020-12-15 06:00:00;6;0;1608012000;59.44998199999999;24.766567000000002;-1.52;100;1016;-1.52;-5.19;1608012000
A-AU;2020-12-15 07:00:00;7;0;1608015600;59.449966;24.766567000000002;-1.17;92;1016;-2.17;-5.29;1608015600
A-AU;2020-12-15 08:00:00;8;0;1608019200;59.44998199999999;24.766567000000002;-1.04;92;1016;-2.04;-5.49;1608019200
A-AU;2020-12-15 09:00:00;9;0;1608022800;59.449966;24.766567000000002;-0.55;92;1016;-1.55;-4.59;1608022800
A-AU;2020-12-15 10:00:00;10;0;1608026400;59.449966;24.766567000000002;-0.34;92;1016;-1.35;-5.05;1608026400
A-AU;2020-12-15 11:00:00;11;0;1608030000;59.449966;24.766567000000002;0.19;92;1016;-0.84;-4.8;1608030000
A-AU;2020-12-15 12:00:00;12;0;1608033600;59.44998199999999;24.766567000000002;0.52;95;1016;-0.16;-4.01;1608033600
A-AU;2020-12-15 13:00:00;13;0;1608037200;59.44998199999999;24.766567000000002;0.52;94;1015;-0.29;-4.03;1608037200
A-AU;2020-12-15 14:00:00;14;0;1608040800;59.44998199999999;24.766582;0.52;93;1015;-0.42;-5.1;1608040800
