Ship;Date;hour;minute;UTC_Seconds;Latitude;Longitude
A-AU;2020-12-17 00:00:00;0;0;1608163200;59.449966;24.766567000000002
A-AU;2020-12-17 01:00:00;1;0;1608166800;59.44998199999999;24.766567000000002
A-AU;2020-12-17 02:00:00;2;0;1608170400;59.44998199999999;24.766567000000002
A-AU;2020-12-17 03:00:00;3;0;1608174000;59.449966;24.766567000000002
A-AU;2020-12-17 04:00:00;4;0;1608177600;59.44998199999999;24.766582
A-AU;2020-12-17 05:00:00;5;0;1608181200;59.44998199999999;24.766582
A-AU;2020-12-17 06:00:00;6;0;1608184800;59.44998199999999;24.766567000000002
A-AU;2020-12-17 07:00:00;7;0;1608188400;59.44998199999999;24.766567000000002
A-AU;2020-12-17 08:00:00;8;0;1608192000;59.44998199999999;24.766567000000002
A-AU;2020-12-17 09:00:00;9;0;1608195600;59.449966;24.766567000000002
A-AU;2020-12-17 10:00:00;10;0;1608199200;59.449966;24.766567000000002
A-AU;2020-12-17 11:00:00;11;0;1608202800;59.449966;24.766567000000002
A-AU;2020-12-17 12:00:00;12;0;1608206400;59.44998199999999;24.766567000000002
A-AU;2020-12-17 13:00:00;13;0;1608210000;59.44998199999999;24.766567000000002
A-AU;2020-12-17 14:00:00;14;0;1608213600;59.44998199999999;24.766567000000002
A-AU;2020-12-17 15:00:00;15;0;1608217200;59.449966;24.766567000000002
A-AU;2020-12-17 16:00:00;16;0;1608220800;59.44998199999999;24.766567000000002
A-AU;2020-12-17 17:00:00;17;0;1608224400;59.44998199999999;24.766567000000002
A-AU;2020-12-17 18:00:00;18;0;1608228000;59.44998199999999;24.766567000000002
A-AU;2020-12-17 19:00:00;19;0;1608231600;59.44998199999999;24.766567000000002
A-AU;2020-12-17 20:00:00;20;0;1608235200;59.44998199999999;24.766567000000002
A-AU;2020-12-17 21:00:00;21;0;1608238800;59.449966;24.766567000000002
A-AU;2020-12-17 22:00:00;22;0;1608242400;59.44998199999999;24.766567000000002
A-AU;2020-12-17 23:00:00;23;0;1608246000;59.44998199999999;24.766567000000002
A-BE;2020-12-17 00:00:00;0;0;1608163200;28.0641;-15.373783
